specobjid,ra,dec,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
384085003581024256,200.75595,-1.7724836,19.60328,17.86564,17.02771,16.67213,16.38208
1580935040416638976,240.5882,32.78148,18.2336,16.97371,16.2828,15.8759,15.6288
575467937528309760,170.38698,2.8104403,16.13577,14.57999,13.88927,13.49532,13.23383
2393697075582756864,213.18854,27.96791,21.74163,18.019,16.92174,16.45475,16.08005
1916397967548377088,208.5349,12.021551,18.15191,16.11396,15.26666,14.87268,14.62967
1378153209410906112,174.16943,9.594696,19.2617,17.42496,16.51092,16.09885,15.83444
1603376898832885760,251.4188,23.617023,19.34426,17.90136,17.04729,16.65218,16.43428
1190160631362250752,244.3819,34.9402,19.02771,17.29826,16.50991,16.1382,15.88687
1388254971971004416,190.12938,9.525126,18.94027,17.30847,16.40416,15.9824,15.65794
1990718361515878400,188.13919,15.41539,16.21997,14.73991,14.06796,13.7149,13.50671
2382463366288402432,208.12251,29.283264,19.14404,17.49322,16.56021,16.13465,15.75614
1961319338208159744,146.68828,10.903872,18.06808,16.9754,16.34225,15.99526,16.059
2072838137037481984,218.18163,31.604084,19.76326,18.08475,17.0143,16.54031,16.17726
2821605017339848704,174.607,20.665354,19.76538,17.19785,16.59804,16.8843,16.9127
2401694375470983168,217.85774,30.786995,16.6141,15.43921,14.79304,14.57968,14.28724
2410607563914635264,221.72408,28.293804,17.85644,16.49438,15.7123,15.28108,15.05154
1490706371874678784,212.53525,53.6403,17.99647,16.72381,16.36186,16.15038,16.27209
2381288532762191872,208.76964,25.282587,18.55478,17.27466,16.76065,16.48717,16.41096
1781253691404216320,116.298,18.4395,17.73324,16.6471,16.26061,15.95524,15.89499
1038226264734853120,226.71242,-1.2670487,20.16367,18.1122,17.13678,16.67444,16.31624
555119264441329664,181.45743,66.86377,20.81189,19.42645,18.85699,18.36005,18.11844
1535775902800046080,167.30653,43.37886,18.58302,17.11633,16.28692,15.92333,15.76459
2985895424671377408,201.74524,21.655231,18.49763,17.36849,17.00042,16.69028,16.59731
2394954093341730816,214.66983,26.587902,18.76341,17.06596,16.15837,15.74687,15.40546
1018957052220827648,159.5493,53.814457,16.56548,15.52912,15.04656,14.77554,14.7095
1320702902645319680,248.76495,36.921917,19.37609,17.50868,16.54411,16.15961,15.77882
3114243886420092928,229.72566,13.8699255,20.01416,17.8358,16.77447,16.34419,15.96815
